GEOID,year,voteshare,CnP_distance_miles,CnP_distance_log,M1_distance_miles,WHITE,INCOME10K,POPULATION100K,BA,M1_distance_log,proximity
26083,2024,42.83054003724395,33.711631712933084,3.5178429324925817,194.854540014825,95.9639126305793,5.7103,0.02172,24.74916387959866,5.2722533315637,16.288368287066916
27071,2024,36.30873471792606,46.35372403502883,3.8363016347396153,91.00772849549143,90.23430962343096,6.3035,0.11751,13.711728206693113,4.510944431432511,3.646275964971167
29099,2024,30.981276296159717,31.748016125157598,3.457830239139474,34.37989262354501,90.00644095571514,7.8297,2.3123,15.425776395753301,3.5374718767254225,18.251983874842402
29183,2024,40.77801261020666,28.77761039603663,3.359597667992464,17.79177440105836,85.04575067711002,9.8925,4.16659,25.514088425738567,2.8787362381911525,21.22238960396337
29189,2024,60.794091554646755,14.249287586217845,2.6567069115152955,8.288922884513395,62.96715491793245,7.9609,9.87059,25.932072146126956,2.1149200312138863,35.75071241378215
29510,2024,81.23951802255075,3.5924785891501645,1.2788423790785897,8.873968067730361,45.711663579078085,5.2278,2.81754,22.012568077084207,2.1831220545425762,46.40752141084984
30029,2024,31.773835920177383,29.27758596310622,3.376822239078977,87.37360239562472,91.41869150260501,6.6395,1.13679,22.78663020931548,4.470193204953939,20.72241403689378
30035,2024,57.758960220559274,36.6865396711185,3.6024099213307217,122.83935616956249,30.474732006125578,4.627,0.13609,9.276745875272388,4.810877454347249,13.313460328881497
30109,2024,13.003663003663005,41.230469004719986,3.7191775219808134,154.81204989098745,93.6411149825784,5.6317,0.0091,19.854721549636803,5.0422117997991664,8.769530995280014
32033,2024,20.294185244771317,48.7790758174845,3.8873014466772706,122.20662815029664,77.46160794941282,6.7639,0.08522,10.294117647058822,4.805713285449009,1.2209241825155033
35013,2024,17.92866314626826,41.56022235787661,3.727143516502484,0.060655580629780506,48.8728486680351,5.2011,2.2521,16.479880142036404,-2.8025436341436176,8.439777642123389
35015,2024,7.185902379116328,26.897587709016776,3.292036606341909,97.85716495604689,64.86402460974571,6.5063,0.60275,12.081249723414613,4.583508915035103,23.102412290983224
35035,2024,11.825823342979193,36.13441317052172,3.587245684683931,66.28773998976928,60.02344837693266,5.2787,0.68835,12.796868530994768,4.194004962894474,13.865586829478282
37039,2024,5.169995511669659,45.462476035265496,3.8168872831810576,34.11532694335841,91.21827585025859,5.1607,0.29959,15.531880153481916,3.5297467537875917,4.537523964734504
37043,2024,6.143245341614907,40.32249842903261,3.696909586849131,51.39399680541346,93.10859450443333,5.7698,0.11864,19.70030388766635,3.939521371971209,9.677501570967387
37075,2024,4.388993513287299,25.533742162190805,3.2400007995243043,49.600038424525906,85.2381544584007,5.0301,0.08052,9.935995123437976,3.903991608418604,24.466257837809195
37087,2024,9.18932128609548,29.59016868729418,3.3874421672168955,17.143329924742268,91.86474884674526,6.2374,0.62969,17.500048735793516,2.8416091722897394,20.40983131270582
37099,2024,11.104274906571872,29.677582696156453,3.3903919694350217,33.9822325925223,79.486643923043,5.8491,0.44574,15.681140851739409,3.5258378172202822,20.322417303843547
37113,2024,7.608051427008297,31.500653192654987,3.450008281891355,52.46295882490886,88.64465936642422,5.3832,0.38412,15.109246976199767,3.9601073743905166,18.499346807345013
37115,2024,9.342192203215623,48.568770312824036,3.882980738203593,17.835377143643402,92.0286506469501,5.4137,0.22071,19.741118457917743,2.881183964852675,1.4312296871759642
37173,2024,9.369682359614293,7.988180831224381,2.077963053157174,43.716899469162556,61.15179523640242,5.5462,0.13916,11.098951208390332,3.777734742887839,42.01181916877562
37175,2024,10.794032723772858,48.085370676165894,3.8729779869039103,28.45618583885401,89.26691333513823,6.2173,0.33549,22.30997391273273,3.3483655653689253,1.914629323834106
38007,2024,14.374034003091191,10.846447967231827,2.3838376500951544,114.48953471564981,98.83966244725738,8.5947,0.01034,18.56594110115237,4.740483418953752,39.153552032768175
38025,2024,14.80820695807315,40.06047893879326,3.690390285702732,88.07127269980992,82.11723967350977,8.249,0.04019,15.3667441088616,4.4781464037156775,9.93952106120674
38033,2024,12.31079717457114,25.529342010883624,3.2398284577478793,135.74298110615993,91.2447885646218,6.4823,0.01743,13.292589763177997,4.910763252918644,24.470657989116376
38053,2024,14.653142546640103,39.01593992607439,3.663970278681181,132.7478838706222,80.09803921568628,8.4206,0.14252,18.667888787045523,4.88845171928405,10.984060073925612
38089,2024,16.37748344370861,44.35249173177271,3.7921688905318773,78.95579190629995,86.74960744051215,8.6963,0.33001,19.094364843978447,4.3688880997118895,5.647508268227291
39005,2024,24.543374714023177,46.48648899729839,3.839161711174924,14.73939885875918,95.05124674927336,6.2037,0.5219,13.631536048608195,2.6905241029416977,3.5135110027016125
39035,2024,65.28550614029001,26.848344629583615,3.290204166524804,3.5326527105634247,58.73414661866565,6.0808,12.33088,20.043839881587957,1.2620490648087233,23.151655370416385
39055,2024,37.53415673844136,26.35965617227915,3.271834666008994,25.578379056187494,93.69704332889955,10.1636,0.95407,22.974104177355333,3.241747426519252,23.64034382772085
39085,2024,42.37394908966472,48.263443885193695,3.8766744187198836,30.61964919029076,86.9160408615215,7.6163,2.3164,19.1882136201024,3.421641933282482,1.7365561148063051
39093,2024,46.66901457168552,32.69060777334149,3.487087812589643,27.127806923545155,79.5497603214363,6.7124,3.1791,16.719131427271655,3.3005592875591847,17.30939222665851
39099,2024,44.92790914333881,44.32387030831716,3.791523365077495,18.997010014942063,76.02647723319079,5.4774,2.25596,16.15831076225748,2.9442815991482267,5.6761296916828385
39103,2024,37.153533560652065,19.73325840323555,2.9823054560813076,28.589521040000434,92.70523193243339,8.9108,1.84042,22.88101315257263,3.3530402534831696,30.26674159676445
39133,2024,41.764592795520635,20.270721033995798,3.0091775313160043,7.992269635672876,87.53693757317821,7.2965,1.62665,17.33662239089184,2.078474778974439,29.729278966004202
39151,2024,38.59538636104521,32.60188071429005,3.484369977331016,8.777504233250912,85.29071820721097,6.4557,3.72716,15.497338582193255,2.1721921113446876,17.398119285709953
39153,2024,53.004521678101845,9.460165434180578,2.24708987066781,9.603741880298312,74.99660835515446,6.6034,5.35733,21.383857422172984,2.2621528017273533,40.53983456581942
