GEOID,year,candidatevotes,totalvotes,voteshare
 1125,2016,31762,82700,38.406287787182585
 1125,2020,37765,90172,41.88107172958346
 1125,2024,33399,85256,39.17495542835695
 1127,2000,11621,25641,45.32194532194532
 1127,2004,9016,28367,31.78341030070152
 1127,2008,7420,28652,25.896970543068548
 1127,2012,6557,28521,22.990077486764136
 1127,2016,4497,29472,15.258550488599349
 1127,2020,4834,31170,15.508501764517163
 1127,2024,4102,29786,13.771570536493655
 1129,2000,3386,7596,44.57609268035808
 1129,2004,3145,8247,38.13507942282042
 1129,2008,3067,8775,34.95156695156695
 1129,2012,2976,8778,33.90293916609706
 1129,2016,2374,8533,27.82139927340912
 1129,2020,2258,8876,25.4393871113114
 1129,2024,1863,8441,22.070844686648503
 1131,2000,3444,5126,67.18689036285603
 1131,2004,3838,5682,67.54663850756776
 1131,2008,4612,6494,71.01940252540807
 1131,2012,4868,6551,74.30926576095253
 1131,2016,4339,6118,70.9218698921216
 1131,2020,4048,5903,68.57530069456209
 1131,2024,3449,5263,65.53296598897967
 1133,2000,2692,9318,28.890319811118264
 1133,2004,2236,10423,21.45255684543797
 1133,2008,1757,10031,17.515701325889744
 1133,2012,1286,9714,13.238624665431336
 1133,2016,872,10313,8.455347619509357
 1133,2020,974,11284,8.631690889755406
 1133,2024,884,11149,7.928962238765809
 2001,2000,1284,6656,19.290865384615387
 2001,2004,3662,10417,35.15407506959777
 2001,2008,2597,6970,37.2596843615495
 2001,2012,1518,7722,19.65811965811966
 2001,2016,2573,6638,38.761675203374516
 2001,2020,3477,7314,47.53896636587367
 2001,2024,3367,8584,39.224137931034484
 2002,2000,2081,7388,28.167298321602598
 2002,2004,4961,11402,43.509910542010175
 2002,2008,3468,7735,44.83516483516484
 2002,2012,3096,9058,34.179730624861996
 2002,2016,1585,5492,28.860160233066278
 2002,2020,2104,6136,34.289439374185136
 2002,2024,4571,9563,47.79880790546899
 2003,2000,3693,8225,44.89969604863222
 2003,2004,6513,11748,55.43922369765066
 2003,2008,5657,8767,64.52606364777004
 2003,2012,2034,6069,33.51458230350964
 2003,2016,1241,7613,16.30106396952581
 2003,2020,1903,8385,22.695289206917113
 2003,2024,6130,11107,55.19042045556856
 2004,2000,2715,7823,34.705356001533936
 2004,2004,4768,10987,43.39674160371348
 2004,2008,4161,8736,47.630494505494504
 2004,2012,2864,6787,42.19832031825549
 2004,2016,4162,9521,43.71389559920176
 2004,2020,5345,10511,50.85148891637332
 2004,2024,6161,9270,66.46170442286947
 2005,2000,1931,6437,29.9984464812801
 2005,2004,4679,10609,44.104062588368365
 2005,2008,3393,7123,47.63442369788011
 2005,2012,3644,8143,44.750092103647304
 2005,2016,3187,7906,40.311156083986845
 2005,2020,4204,8654,48.57869193436561
 2005,2024,3328,8020,41.49625935162094
 2006,2000,1542,6100,25.278688524590166
 2006,2004,3728,10310,36.15906886517944
 2006,2008,2351,6824,34.45193434935522
 2006,2012,2145,7793,27.524701655331707
 2006,2016,2536,8460,29.976359338061464
 2006,2020,3272,9460,34.5877378435518
 2006,2024,4773,12000,39.775
 2007,2000,1893,8677,21.816295954823094
 2007,2004,5008,13221,37.87913168444142
 2007,2008,4283,10894,39.315219386818434
 2007,2012,1962,7575,25.900990099009903
 2007,2016,1510,8294,18.205931999035446
 2007,2020,2215,9622,23.020162128455624
 2007,2024,2513,9609,26.15256530336143
 2008,2000,1498,7978,18.776635748307847
 2008,2004,5758,12942,44.4908051305826
 2008,2008,4995,10320,48.401162790697676
 2008,2012,2083,8242,25.272991992234893
 2008,2016,1218,8073,15.087328130806391
 2008,2020,1953,9912,19.703389830508474
 2008,2024,2576,10805,23.840814437760297
 2009,2000,1203,6800,17.691176470588236
 2009,2004,4177,11486,36.36601079575135
 2009,2008,2805,7143,39.26921461570769
 2009,2012,1667,7408,22.50269978401728
 2009,2016,1843,8954,20.582979673888765
 2009,2020,2769,10993,25.188756481397252
 2009,2024,5849,11836,49.41703278134505
 2010,2000,2194,8884,24.696082845565062
 2010,2004,3670,10750,34.13953488372093
 2010,2008,2074,5615,36.93677649154052
 2010,2012,1344,6570,20.456621004566212
 2010,2016,1808,9040,20
 2010,2020,2727,11205,24.337349397590362
 2010,2024,4070,8763,46.44528129635969
 2011,2000,2043,6980,29.26934097421203
 2011,2004,3364,13025,25.82725527831094
 2011,2008,1924,9866,19.50131765659842
 2011,2012,2222,8631,25.744409686015523
 2011,2016,2142,9689,22.107544638249564
 2011,2020,3130,10628,29.450508091832894
 2011,2024,4633,9840,47.083333333333336
 2012,2000,2051,7601,26.9832916721484
 2012,2004,3387,11845,28.594343604896583
 2012,2008,1914,7589,25.220714191593096
 2012,2012,1901,6482,29.327368096266582
 2012,2016,1928,9543,20.203290369904643
 2012,2020,2957,11238,26.312511122975618
 2012,2024,4169,8515,48.96065766294774
 2013,2000,2661,7943,33.50119602165429
 2013,2004,4819,16012,30.096177866600048
 2013,2008,2800,11526,24.292903001908726
 2013,2012,2425,5707,42.491676888032245
 2013,2016,1684,6533,25.77682534823205
 2013,2020,2666,7713,34.56502009594192
 2013,2024,3682,7577,48.59443051339581
 2014,2000,1626,5868,27.709611451942738
 2014,2004,4403,15548,28.318754823771545
 2014,2008,2132,10456,20.390206579954093
 2014,2012,3340,7068,47.25523486134692
 2014,2016,3043,10420,29.203454894433783
 2014,2020,4261,11443,37.23673861749541
 2014,2024,4346,7426,58.52410449771075
 2015,2000,2106,5870,35.877342419080065
 2015,2004,4766,15400,30.948051948051948
 2015,2008,2510,11086,22.641169042035
 2015,2012,3283,6451,50.8913346767943
 2015,2016,1828,4982,36.69209152950622
 2015,2020,2622,5559,47.16675661090124
 2015,2024,4364,9293,46.96007747767136
 2016,2000,1969,4685,42.027748132337244
 2016,2004,4791,15840,30.246212121212125
 2016,2008,2636,10697,24.642423109282976
 2016,2012,4013,7181,55.883581673861585
 2016,2016,3294,7436,44.298009682625064
 2016,2020,4274,8118,52.64843557526484
 2016,2024,5344,9669,55.26941772675561
 2017,2000,2230,7704,28.946002076843197
 2017,2004,4646,15510,29.954867827208254
 2017,2008,2645,9448,27.995342929720575
 2017,2012,2853,4589,62.17040749618653
 2017,2016,3290,6788,48.46788450206246
 2017,2020,4136,7239,57.13496339273381
 2017,2024,4990,7718,64.65405545478103
 2018,2000,2739,9882,27.7170613236187
 2018,2004,4193,12887,32.53666485605649
 2018,2008,2046,6411,31.913897987833412
 2018,2012,4247,6930,61.284271284271284
 2018,2016,3909,7402,52.81005133747636
 2018,2020,4681,7720,60.634715025906736
 2018,2024,1928,4816,40.033222591362126
 2019,2000,2350,7951,29.55603068796378
 2019,2004,5061,13458,37.60588497547927
 2019,2008,3095,7372,41.98317959848074
 2019,2012,4126,8286,49.79483466087376
 2019,2016,2669,4792,55.69699499165276
 2019,2020,3118,5301,58.81909073759668
 2019,2024,2825,5025,56.21890547263681
 2020,2000,2259,6963,32.44291253769927
 2020,2004,4465,11480,38.893728222996515
 2020,2008,2474,5138,48.15103152977812
 2020,2012,3081,7964,38.686589653440485
 2020,2016,4151,7140,58.13725490196079
 2020,2020,4881,7497,65.10604241696679
 2020,2024,3924,7267,53.99752304940141
 2021,2000,2309,6629,34.83179966812491
 2021,2004,5488,14671,37.4071297116761
 2021,2008,3647,8675,42.040345821325644
 2021,2012,3316,8866,37.401308369050305
 2021,2016,4224,8647,48.849311900080956
 2021,2020,5414,9429,57.418602184749176
 2021,2024,4711,9043,52.09554351432046
 2022,2000,2656,8525,31.155425219941353
 2022,2004,5426,13035,41.62639048714998
 2022,2008,3337,6634,50.30147723846849
 2022,2012,2859,6555,43.61556064073226
 2022,2016,3270,8372,39.058767319636885
 2022,2020,4553,9520,47.825630252100844
 2022,2024,2660,5463,48.69119531393007
 2023,2000,1282,4630,27.688984881209507
 2023,2004,5991,12985,46.13785136696188
 2023,2008,4075,7082,57.54024286924597
 2023,2012,3167,8370,37.83751493428913
 2023,2016,2894,6924,41.79664933564414
 2023,2020,3810,7739,49.23116681741827
 2023,2024,4116,10685,38.5212915301825
 2024,2000,1985,7915,25.078963992419457
 2024,2004,5226,13251,39.43853294091012
 2024,2008,3380,7688,43.964620187304895
 2024,2012,3128,7289,42.91397996981753
 2024,2016,3578,9080,39.40528634361233
 2024,2020,4736,10428,45.41618718833909
 2024,2024,3234,10118,31.962838505633524
 2025,2000,1697,8201,20.692598463602
 2025,2004,5435,12778,42.53404288621068
 2025,2008,3233,6443,50.17848828185628
 2025,2012,3739,8661,43.17053458030251
 2025,2016,3378,8127,41.56515319306017
 2025,2020,4600,9325,49.32975871313673
 2025,2024,3172,10460,30.325047801147225
 2026,2000,1608,8590,18.719441210710126
 2026,2004,6476,14682,44.108432093720204
 2026,2008,4472,8695,51.431857389304206
 2026,2012,3169,10491,30.206843961490804
 2026,2016,3374,8905,37.88882650196519
 2026,2020,4558,10111,45.079616259519334
 2026,2024,2013,9448,21.306096528365792
 2027,2000,2199,10438,21.067254263268826
 2027,2004,5212,14112,36.93310657596372
 2027,2008,3130,8498,36.832195810779005
 2027,2012,4463,10823,41.23625612122332
 2027,2016,3729,8783,42.45701924171696
